CarTravelID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;7514099;7513007;1494;1516
2;7514099;7513007;1435;1457
9;7510016;7514099;690;709
10;7514355;7514099;709;722
11;7513007;7514099;746;765
12;7510016;7514099;810;829
13;7514355;7514099;829;842
18;7513007;7514099;866;885
22;7510016;7514099;700;719
23;7514355;7514099;719;732
24;7513007;7514099;756;775
25;7510016;7514099;820;839
26;7514355;7514099;839;852
59;7514355;7514099;836;849
82;7513007;7514099;876;895
122;7514099;7514355;1167;1183
123;7513007;7514099;1232;1251
124;7514099;7514355;1285;1301
125;7513007;7514099;1337;1356
129;7510016;7514099;1390;1409
133;7514355;7514099;1406;1419
137;7513007;7514099;1442;1461
143;7514099;7513007;1315;1337
158;7514099;7510016;1368;1390
169;7514099;7514355;1390;1406
176;7514099;7513007;1420;1442
179;7514099;7510016;1278;1300
180;7514355;7514099;1316;1329
184;7513007;7514099;1352;1371
188;7510016;7514099;1405;1424
192;7514355;7514099;1421;1434
198;7514099;7514355;1300;1316
213;7514099;7513007;1330;1352
224;7514099;7510016;1383;1405
231;7514099;7514355;1405;1421
307;7513007;7514099;1449;1468
308;7514099;7514355;1053;1069
309;7513007;7514099;1112;1131
315;7510016;7514099;1285;1304
319;7514355;7514099;1301;1314
326;7514099;7513007;1210;1232
346;7514099;7510016;1263;1285
403;7514099;7510016;1158;1180
404;7514355;7514099;1198;1211
408;7513007;7514099;1247;1266
412;7510016;7514099;1300;1319
423;7514099;7514355;1182;1198
439;7514099;7513007;1225;1247
769;7514355;7514099;1428;1441
780;7514099;7514355;573;589
781;7513007;7514099;626;645
782;7514099;7510016;668;690
802;7514099;7514355;693;709
818;7514099;7513007;724;746
831;7510016;7514099;931;950
834;7514099;7510016;788;810
847;7513007;7514099;986;1005
850;7514099;7514355;813;829
854;7514099;7510016;678;700
874;7514099;7514355;703;719
890;7514099;7513007;734;756
903;7510016;7514099;941;960
906;7514099;7510016;798;820
919;7513007;7514099;996;1015
922;7514099;7514355;823;839
1027;7514355;7514099;962;975
1095;7514355;7514099;952;965
1115;7514355;7514099;959;972
1119;7514355;7514099;969;982
1123;7510016;7514099;948;967
1126;7514099;7510016;909;931
1135;7510016;7514099;1050;1069
1139;7514355;7514099;1069;1082
1146;7514099;7514355;936;952
1162;7514099;7513007;964;986
1175;7510016;7514099;1165;1184
1179;7514355;7514099;1183;1196
1182;7514099;7510016;1028;1050
1206;7514099;7510016;919;941
1215;7510016;7514099;1060;1079
1219;7514355;7514099;1079;1092
1223;7513007;7514099;1127;1146
1226;7514099;7514355;946;962
1242;7514099;7513007;974;996
1255;7510016;7514099;1180;1199
1258;7514099;7510016;1038;1060
1278;7514099;7514355;1063;1079
1446;7514099;7514355;1046;1062
1450;7514099;7514355;1056;1072
1455;7510016;7514099;1187;1206
1459;7514355;7514099;1205;1218
1467;7514355;7514099;1190;1203
1494;7514099;7513007;1090;1112
1514;7514099;7510016;1143;1165
1586;7514099;7513007;1105;1127
1867;7510016;7514099;1172;1191
1895;7514355;7514099;1308;1321
1896;7514099;7510016;558;580
1897;7514355;7514099;599;612
2240;7514355;7514099;364;377
2241;7513007;7514099;386;405
2242;7513007;7514099;326;345
2243;7510016;7514099;326;345
2244;7510016;7514099;450;469
2247;7514355;7514099;471;484
2248;7513007;7514099;506;525
2251;7514099;7514355;348;364
2259;7514099;7513007;364;386
2266;7510016;7514099;570;589
2267;7514099;7510016;428;450
2274;7514355;7514099;589;602
2277;7514099;7514355;455;471
2285;7514099;7513007;484;506
2293;7514099;7510016;548;570
2311;7514099;7513007;604;626
2353;7514099;7513007;844;866
2458;7514099;7510016;1494;1516
2472;7514355;7514099;374;387
2473;7513007;7514099;396;415
2474;7513007;7514099;336;355
2475;7510016;7514099;336;355
2476;7510016;7514099;460;479
2479;7514355;7514099;481;494
2480;7513007;7514099;516;535
2483;7514099;7514355;358;374
2491;7514099;7513007;374;396
2498;7510016;7514099;580;599
2499;7514099;7510016;438;460
2508;7513007;7514099;636;655
2509;7514099;7514355;465;481
2517;7514099;7513007;494;516
2535;7514099;7514355;583;599
2543;7514099;7513007;614;636
2585;7514099;7513007;854;876
2661;7514099;7510016;1435;1457
3178;7510016;7514099;938;957
3199;7514099;7514355;806;822
3214;7514099;7513007;1442;1464
3215;7514099;7510016;1442;1464
3216;7513007;7514099;513;532
