TripID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;7514099;7514355;345;364
2;7514355;7513007;367;386
3;7513007;7514218;386;409
4;7514218;7510016;422;450
5;7510016;7514355;450;471
6;7514355;7513007;484;506
7;7513007;7514218;506;532
8;7514218;7510016;543;570
9;7510016;7514355;570;589
10;7514355;7513007;604;626
11;7513007;7514218;626;650
12;7514218;7510016;663;690
13;7510016;7514355;690;709
14;7514355;7513007;724;746
15;7513007;7514218;746;775
16;7514218;7510016;783;810
17;7510016;7514355;810;829
18;7514355;7513007;844;866
19;7513007;7510016;866;931
20;7510016;7514355;931;952
21;7514355;7513007;964;986
22;7513007;7514218;986;1015
23;7514218;7510016;1023;1050
24;7510016;7514355;1050;1069
25;7514355;7513007;1090;1112
26;7513007;7510016;1112;1165
27;7510016;7514355;1165;1183
28;7514355;7513007;1213;1232
29;7513007;7514218;1232;1255
30;7514218;7510016;1263;1285
31;7510016;7514355;1285;1301
32;7514355;7513007;1321;1337
33;7513007;7514218;1337;1359
34;7514218;7510016;1368;1390
35;7510016;7514355;1390;1406
36;7514355;7513007;1426;1442
37;7513007;7514099;1442;1494
38;7514099;7514355;355;374
39;7514355;7513007;377;396
40;7513007;7514218;396;419
41;7514218;7510016;432;460
42;7510016;7514355;460;481
43;7514355;7513007;494;516
44;7513007;7514218;516;542
45;7514218;7510016;553;580
46;7510016;7514355;580;599
47;7514355;7513007;614;636
48;7513007;7514218;636;660
49;7514218;7510016;673;700
50;7510016;7514355;700;719
51;7514355;7513007;734;756
52;7513007;7514218;756;785
53;7514218;7510016;793;820
54;7510016;7514355;820;839
55;7514355;7513007;854;876
56;7513007;7510016;876;941
57;7510016;7514355;941;962
58;7514355;7513007;974;996
59;7513007;7514218;996;1025
60;7514218;7510016;1033;1060
61;7510016;7514355;1060;1079
62;7514355;7513007;1105;1127
63;7513007;7510016;1127;1180
64;7510016;7514355;1180;1198
65;7514355;7513007;1228;1247
66;7513007;7514218;1247;1270
67;7514218;7510016;1278;1300
68;7510016;7514355;1300;1316
69;7514355;7513007;1336;1352
70;7513007;7514218;1352;1374
71;7514218;7510016;1383;1405
72;7510016;7514355;1405;1421
73;7514355;7514099;1421;1435
